codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
7973;17262,37;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;Plans d'Ofegat;SNU;347062,5026;4613435,967;17262,37
25697;2072,46;Sòl edificat;FALSO;VERDADERO;8169;PRAT DE LLOBREGAT,EL;Sant Cosme;SUC;423514,4817;4574293,574;2072,46
6076;5124,57;Sòl net totalment urbanitzat;FALSO;VERDADERO;8102;IGUALADA;Igualada Industrial;SUC;385245,7032;4605169,287;5124,57
27441;714,17;Sòl inactiu;FALSO;VERDADERO;25016;ALGUAIRE;Pinyana;SNU;299243,5519;4622890,674;714,17
25607;1181;Sòl edificat;FALSO;VERDADERO;17015;BANYOLES;Cal General;SUC;480286,9468;4663379,143;1181
25605;756,52;Sòl edificat;FALSO;VERDADERO;8231;SANT PERE DE RIBES;Sector Can Puig;SUC;396919,2603;4568662,664;756,52
27101;18393,56;Sòl inactiu;FALSO;VERDADERO;8300;VILADECAVALLS;Can Mitjans;SNU;413441,1505;4601217,644;18393,56
124;4825,3;Sòl inactiu;FALSO;VERDADERO;8252;BARBERÀ DEL VALLÈS;Can Llobet;;426631,3063;4596977,818;4825,3
25778;319;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;el carrer Ramón Turró, 244;SUC;433544,4335;4583590,506;319
27123;6987,13;Sòl inactiu;FALSO;VERDADERO;8076;ESPARREGUERA;Colònia Sedó;SNU;406082,1153;4600453,604;6987,13
25452;3826;Sòl edificat;FALSO;VERDADERO;8307;VILANOVA I LA GELTRÚ;Vilanova;;;;3826
25866;910;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;Sudoest del Besòs;SUC;434477,8144;4585443,555;910
27103;6773,11;Sòl inactiu;FALSO;VERDADERO;8213;SANT FRUITÓS DE BAGES;la Vall dels Horts;SNU;407586,6647;4623827,531;6773,11
22205;51;Sòl net totalment urbanitzat;FALSO;VERDADERO;25058;BORGES BLANQUES,LES;Parcel·les al Polígon Borges Blanques 104;;321764,0418;4598962,643;51
27214;3053,47;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;360313,9688;4573914,828;3053,47
25547;1221;Sòl edificat;FALSO;VERDADERO;43038;CAMBRILS;Sector 1;SUC;336101,5593;4549529,239;1221
27410;97851,81;Sòl inactiu;FALSO;VERDADERO;43009;ALFORJA;Mas d'en Blai (Castillejos);SNU;331523,5448;4566561,608;97851,81
23363;2232;Sòl net totalment urbanitzat;FALSO;VERDADERO;43148;TARRAGONA;Campclar;SUC;349787,1238;4553809,323;2232
25872;1232;Sòl edificat;FALSO;VERDADERO;17181;SANTA CRISTINA D'ARO;Sector Taulera;SUC;499874,7828;4629148,616;1232
7344;1634;Sòl inactiu;FALSO;VERDADERO;8056;CASTELLDEFELS;Campus Universitari;SNU;414960,3034;4570132,265;1634
7953;961,28;Sòl net totalment urbanitzat;FALSO;VERDADERO;43904;ALDEA,L';Estació Mercaderies;SUD;298426,5977;4514144,174;961,28
27460;8311,78;Sòl inactiu;FALSO;VERDADERO;8089;GAVÀ;el Camí Ral;SNU;416127,8011;4570858,819;8311,78
12024;4908,4;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SUD;344684,6925;4614770,463;4908,4
172;1338,12;Sòl inactiu;FALSO;VERDADERO;43901;DELTEBRE;el passeig Fluvial;SNU;307880,2139;4509443,025;1338,12
26650;0,16;Sòl net totalment urbanitzat;FALSO;VERDADERO;8076;ESPARREGUERA;Colònia Sedó;;405775,8225;4600212,313;0,16
